api,category,priority,implemented,tested,action
nppiWarpPerspective_32f_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32f_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32f_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32s_C1R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32s_C1R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32s_C3R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32s_C3R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32s_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_32s_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_8u_C1R,Geometry/Warp,P0,yes,yes,done
nppiWarpPerspective_8u_C1R_Ctx,Geometry/Warp,P0,yes,yes,done
nppiWarpPerspective_8u_C3R,Geometry/Warp,P0,yes,yes,done
nppiWarpPerspective_8u_C3R_Ctx,Geometry/Warp,P0,yes,no,add_test
nppiWarpPerspective_8u_C4R,Geometry/Warp,P0,no,no,implement
nppiWarpPerspective_8u_C4R_Ctx,Geometry/Warp,P0,no,no,implement
nppiXorC_16u_C3R,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_16u_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_16u_C4R,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_16u_C4R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_32s_C3R,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_32s_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_32s_C4R,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_32s_C4R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiXorC_8u_C3R,Logical/Bitwise,P1,yes,yes,done
nppiXorC_8u_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
