api,category,priority,implemented,tested,action
nppiMirror_8u_C4R_Ctx,Geometry/Mirror,P1,no,no,implement
nppiOrC_16u_C3R,Other,P2,yes,no,add_test
nppiOrC_16u_C3R_Ctx,Other,P2,yes,no,add_test
nppiOrC_16u_C4R,Other,P2,yes,no,add_test
nppiOrC_16u_C4R_Ctx,Other,P2,yes,no,add_test
nppiOrC_32s_C3R,Other,P2,yes,no,add_test
nppiOrC_32s_C3R_Ctx,Other,P2,yes,no,add_test
nppiOrC_32s_C4R,Other,P2,yes,no,add_test
nppiOrC_32s_C4R_Ctx,Other,P2,yes,no,add_test
nppiOrC_8u_C3R,Other,P2,yes,no,add_test
nppiOrC_8u_C3R_Ctx,Other,P2,yes,no,add_test
nppiRShiftC_16s_C1R,Logical/Bitwise,P1,yes,yes,done
nppiRShiftC_16s_C1R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_16s_C3R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_16s_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_16s_C4R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_16s_C4R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_16u_C1R,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_16u_C1R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_16u_C3R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_16u_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_16u_C4R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_16u_C4R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_32s_C1R,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_32s_C1R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_32s_C3R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_32s_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_32s_C4R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_32s_C4R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_8s_C1R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8s_C1R_Ctx,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8s_C3R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8s_C3R_Ctx,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8s_C4R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8s_C4R_Ctx,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8u_C1R,Logical/Bitwise,P1,yes,yes,done
nppiRShiftC_8u_C1R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_8u_C3R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8u_C3R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRShiftC_8u_C4R,Logical/Bitwise,P1,no,no,implement
nppiRShiftC_8u_C4R_Ctx,Logical/Bitwise,P1,yes,no,add_test
nppiRectStdDev_32s32f_C1R,Statistics,P1,no,no,implement
nppiRectStdDev_32s32f_C1R_Ctx,Statistics,P1,no,no,implement
nppiRotate_16u_C1R,Geometry/Rotate,P0,no,no,implement
nppiRotate_16u_C1R_Ctx,Geometry/Rotate,P0,no,no,implement
nppiRotate_16u_C3R,Geometry/Rotate,P0,no,no,implement
nppiRotate_16u_C3R_Ctx,Geometry/Rotate,P0,no,no,implement
nppiRotate_16u_C4R,Geometry/Rotate,P0,no,no,implement
nppiRotate_16u_C4R_Ctx,Geometry/Rotate,P0,no,no,implement
nppiRotate_32f_C1R,Geometry/Rotate,P0,yes,no,add_test
nppiRotate_32f_C1R_Ctx,Geometry/Rotate,P0,yes,yes,done
nppiRotate_32f_C3R,Geometry/Rotate,P0,no,no,implement
nppiRotate_32f_C3R_Ctx,Geometry/Rotate,P0,no,no,implement
nppiRotate_32f_C4R,Geometry/Rotate,P0,no,no,implement
nppiRotate_32f_C4R_Ctx,Geometry/Rotate,P0,no,no,implement
nppiRotate_8u_C1R,Geometry/Rotate,P0,yes,no,add_test
nppiRotate_8u_C1R_Ctx,Geometry/Rotate,P0,yes,yes,done
nppiRotate_8u_C3R,Geometry/Rotate,P0,yes,no,add_test
nppiRotate_8u_C3R_Ctx,Geometry/Rotate,P0,yes,yes,done
nppiRotate_8u_C4R,Geometry/Rotate,P0,no,no,implement
nppiRotate_8u_C4R_Ctx,Geometry/Rotate,P0,no,no,implement
nppiStDecimate_,Legacy,P3,no,no,implement
nppiStDecimate_32f_C1R,Legacy,P3,no,no,implement
nppiStDecimate_32f_C1R_host,Legacy,P3,no,no,implement
nppiStDecimate_32s_C1R,Legacy,P3,no,no,implement
nppiStDecimate_32s_C1R_host,Legacy,P3,no,no,implement
nppiStDecimate_32u_C1R,Legacy,P3,no,no,implement
nppiStDecimate_32u_C1R_host,Legacy,P3,no,no,implement
nppiStDecimate_64f_C1R,Legacy,P3,no,no,implement
nppiStDecimate_64f_C1R_host,Legacy,P3,no,no,implement
nppiStDecimate_64s_C1R,Legacy,P3,no,no,implement
nppiStDecimate_64s_C1R_host,Legacy,P3,no,no,implement
nppiStDecimate_64u_C1R,Legacy,P3,no,no,implement
nppiStDecimate_64u_C1R_host,Legacy,P3,no,no,implement
nppiStFilterColumnBorder_32f_C1R,Legacy,P3,no,no,implement
nppiStFilterRowBorder_32f_C1R,Legacy,P3,no,no,implement
nppiStIntegralGetSize_32f32f,Integral,P1,no,no,implement
nppiStIntegralGetSize_8u32u,Integral,P1,no,no,implement
nppiStIntegral_32f32f_C1R,Integral,P1,no,no,implement
nppiStIntegral_32f32f_C1R_host,Integral,P1,no,no,implement
