function_name,module,implemented,impl_file,tested,test_file
nppiAddC_16f_C3R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc.cpp
nppiAddC_16f_C4IR,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc.cpp
nppiAddC_16f_C4IR_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc.cpp
nppiAddC_16f_C4R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc.cpp
nppiAddC_16f_C4R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc.cpp
nppiAddC_16s_AC4IRSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16s_AC4IRSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16s_AC4RSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_extended.cpp
nppiAddC_16s_AC4RSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16s_C1IRSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
