function_name,usage_count,implemented,impl_file,tested,test_file
nppiBGRToYCbCr444_JPEG_8u_P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCbCr_8u_AC4P3R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_rgb_ycbcr_variants.cpp
nppiBGRToYCbCr_8u_AC4P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,no,
nppiBGRToYCbCr_8u_AC4P4R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_rgb_ycbcr_variants.cpp
nppiBGRToYCbCr_8u_AC4P4R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,no,
nppiBGRToYCbCr_8u_C3P3R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_rgb_ycbcr_variants.cpp
nppiBGRToYCbCr_8u_C3P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,no,
nppiBGRToYCrCb420_709CSC_8u_AC4P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCrCb420_709CSC_8u_AC4P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCrCb420_709CSC_8u_C3P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCrCb420_709CSC_8u_C3P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCrCb420_8u_AC4P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCrCb420_8u_AC4P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCrCb420_8u_C3P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYCrCb420_8u_C3P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiBGRToYUV420_8u_AC4P3R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv420.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_rgb_yuv420.cpp
nppiBGRToYUV420_8u_AC4P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv420.cpp,no,
nppiBGRToYUV_8u_AC4P4R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_rgb_yuv_variants.cpp
nppiBGRToYUV_8u_AC4P4R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,no,
nppiBGRToYUV_8u_AC4R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_rgb_yuv_variants.cpp
nppiBGRToYUV_8u_AC4R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,no,
nppiBGRToYUV_8u_C3P3R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_rgb_yuv_variants.cpp
nppiBGRToYUV_8u_C3P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,no,
nppiBGRToYUV_8u_C3R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_rgb_yuv_variants.cpp
nppiBGRToYUV_8u_C3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,no,
nppiBGRToYUV_8u_P3R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_rgb_yuv_variants.cpp
nppiBGRToYUV_8u_P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_rgb_yuv.cpp,no,
nppiCFAToRGBA_16u_C1AC4R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCFAToRGBA_16u_C1AC4R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCFAToRGBA_8u_C1AC4R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCFAToRGBA_8u_C1AC4R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCFAToRGB_16u_C1C3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_cfa_to_rgb.cpp,no,
nppiCFAToRGB_16u_C1C3R_Ctx,1,yes,src/nppi/nppi_color_conversion_operations/nppi_cfa_to_rgb.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_cfa_to_rgb.cpp
nppiCFAToRGB_8u_C1C3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_cfa_to_rgb.cpp,no,
nppiCFAToRGB_8u_C1C3R_Ctx,2,yes,src/nppi/nppi_color_conversion_operations/nppi_cfa_to_rgb.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_cfa_to_rgb.cpp
nppiCMYKOrYCCKToBGR_JPEG_8u_P4C3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCMYKOrYCCKToBGR_JPEG_8u_P4C3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCMYKOrYCCKToBGR_JPEG_8u_P4P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCMYKOrYCCKToBGR_JPEG_8u_P4P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCMYKOrYCCKToRGB_JPEG_8u_P4C3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCMYKOrYCCKToRGB_JPEG_8u_P4C3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCMYKOrYCCKToRGB_JPEG_8u_P4P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCMYKOrYCCKToRGB_JPEG_8u_P4P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToBGR_709HDTV_8u_C2C3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToBGR_709HDTV_8u_C2C3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToBGR_709HDTV_8u_C2C4R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToBGR_709HDTV_8u_C2C4R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToBGR_8u_C2C4R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToBGR_8u_C2C4R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToRGB_8u_C2C3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToRGB_8u_C2C3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToYCbCr411_8u_C2P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToYCbCr411_8u_C2P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToYCbCr420_8u_C2P2R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToYCbCr420_8u_C2P2R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToYCbCr420_8u_C2P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToYCbCr420_8u_C2P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToYCbCr422_8u_C2P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToYCbCr422_8u_C2P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToYCbCr422_8u_C2R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToYCbCr422_8u_C2R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToYCrCb420_8u_C2P3R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiCbYCr422ToYCrCb420_8u_C2P3R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiColorToGray_16s_AC4C1R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_color_to_gray.cpp
nppiColorToGray_16s_AC4C1R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,no,
nppiColorToGray_16s_C3C1R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_color_to_gray.cpp
nppiColorToGray_16s_C3C1R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,no,
nppiColorToGray_16s_C4C1R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_color_to_gray.cpp
